links,name,rating,price_for_two,cuisine,location,signature dish,special features,safety measures,address,Opening Times,Closing Times,Veg,more_info,latitude,longitude
https://www.zomato.com/hyderabad/mekong-hitech-city/info,Mekong,3.9,2200.0,"Chinese, Asian, Sushi, Thai, Burmese, Vietnamese, Tibetan, Japanese","Hitech City, Hyderabad",,,,"Survey 64, 15, 24, 25 & 26, Huda Techno Enclave, Hitech City, Hyderabad",12noon,11pm,0,"Takeaway Available, Indoor Seating",54.816377,-126.141568
https://www.zomato.com/hyderabad/makau-jubilee-hills/info,Makau,4.2,2200.0,"North Indian, Beverages, Asian, Desserts, Continental, Italian, Modern Indian, Sushi","Road 36, Jubilee Hills, Hyderabad","Thai Green Curry, Mocktail, Cheesecake, Prawns, Starters, Chicken","Good Music Beautiful Ambiance, Trained Staff, Food Menu, Fair Prices, Seat, Nice Music",,"Plot 732, 8-2-293/82/A/732, CBI Colony, Road 36, Jubilee Hills, Hyderabad",12noon,11pm,0,"Home Delivery, Takeaway Available, Full Bar Available, Romantic Dining, Serves Cocktails, Dance Floor, Indoor Seating, Live Sports Screening, Live Music, Nightlife, Wifi, Outdoor Seating, Serves Alcohol, Table booking recommended, Smoking Area, Party Music, Live Entertainment",17.427446,78.402483
https://www.zomato.com/hyderabad/by-the-bottle-jubilee-hills/info,By The Bottle,4.2,1400.0,"Continental, Chinese, North Indian, Italian, Pizza, Bar Food","Road 36, Jubilee Hills, Hyderabad","Crispy Shrimp, Peri Peri Prawn, Sangria, Chicken Tikka Pizza, Cheese Balls, Beer","Rooftop Ambience, Awesome Music, Amazing Music, Nice View, Fancy Crowd, Dance Floor",,"1217/A, Road 36, Jubilee Hills, Hyderabad",12noon,12midnight,0,"Home Delivery, Takeaway Available, Full Bar Available, Indoor Seating, Party Music, Live Music, Serves Alcohol, Live Sports Screening, Nightlife, Rooftop, Happy Hours, Live Entertainment, Valet Parking Available",17.427446,78.402483
https://www.zomato.com/hyderabad/aura-cafe-infusion-bar-jubilee-hills/info,Aura Cafe & Infusion Bar,4.4,2000.0,"Coffee, Italian, Chinese, Oriental, Continental, Bar Food, Beverages, Desserts","Jubilee Hills, Hyderabad","Contadina Pizza, Turkey Sandwich, Chicken Croquettes, Wild Mushroom Soup, Chicken Piccata, Mutton Dhansak","Good Foods and Fresh Juices, Couple Friendly, Healthy Menu, Personal Attention, Cozy Ambience, Beautiful Cafe","Well Sanitized Kitchen, Daily Temp. Checks","Plot 280-A, Road 10C, Jubilee Hills, Hyderabad",10:30am,11:30pm,0,"Breakfast, Home Delivery, Takeaway Available, Full Bar Available, Live Music, Serves Cocktails, Smoking Area, Vegan Options, All Day Breakfast, Lunch Menu, Live Sports Screening, Gin Bar, Outdoor Seating, Indoor Seating, Serves Alcohol, Table booking recommended, Disabled Friendly, Family Friendly, Wifi, Desserts and Bakes, Live Entertainment, Nightlife, Craft Beer",17.422077,78.410593
https://www.zomato.com/hyderabad/stone-waters-kitchen-lounge-jubilee-hills/info,Stone Waters - Kitchen & Lounge,4.2,2000.0,"North Indian, Continental, Asian, Pizza","Jubilee Hills, Hyderabad","Panneer Butter Masala, Alfredo Pasta, Lasagna, Cocktails, Crispy Corn, Beer","Soulful Music, Live Band Performance, Singer, Rooftop Ambience, Sheesha, Awesome Music",,"Shop 1299, B1, 5th Floor, Aruna Arcade, Road 1, Jubilee Hills, Hyderabad",3:30pm,12midnight,0,"Home Delivery, Takeaway Available, Full Bar Available, Rooftop, Indoor Seating, Live Music, Party Music, Valet Parking Available, Smoking Area, Live Sports Screening, Wifi",17.510535,78.390056
https://www.zomato.com/hyderabad/forefathers-jubilee-hills/info,Forefathers,4.4,1500.0,"Finger Food, Pizza, Bar Food, Asian, Modern Indian, Continental, Desserts, North Indian","Jubilee Hills, Hyderabad",,,,"872, CBI Colony, Masthan Nagar, Road 45, Jubilee Hills, Hyderabad",12noon,12midnight,0,"Full Bar Available, Romantic Dining, Serves Alcohol, Work Friendly, Family Friendly, Desserts and Bakes, Party Music, Nightlife, Gin Bar, Outdoor Seating, Indoor Seating, Serves Cocktails, Table booking recommended, Resto Bar, High Chair Available, Stags Allowed, Smoking Area, Celebrity Frequented, Live Sports Screening, Valet Parking Available",17.390617,78.470769
https://www.zomato.com/hyderabad/36-downtown-brew-pub-jubilee-hills/info,36 Downtown Brew Pub,4.3,3000.0,"Continental, Hyderabadi, Finger Food, Pizza, Beverages, Desserts","Road 36, Jubilee Hills, Hyderabad","Cottage Steak, Cheesy Chicken Pasta, Loaded Potato Skins, Liit Cocktail, Palak Patta Chat, Wheat Beer","Dj was Amazing, Kid Friendly, Bar Games, Happy Hour Menu, Live Band Performance, Rooftop Seating",,"Plot 753, Road 36, Jubilee Hills, Hyderabad",12noon,12midnight,0,"Full Bar Available, Wifi, Party Music, Live Entertainment, Nightlife, Indoor Seating, Serves Cocktails, Table reservation required, Smoking Area, Live Sports Screening, Craft Beer, Outdoor Seating, Live Music, Rooftop, Serves Alcohol, Happy Hours",17.430931,78.409901
https://www.zomato.com/hyderabad/anaga-spice-kitchen-bar-jubilee-hills/info,Anaga  Spice Kitchen & Bar,4.3,1200.0,"Andhra, North Indian, Biryani, Desserts, South Indian","Jubilee Hills, Hyderabad",,,,"2-293/82/A, 4th Floor, Apurupa Towers, Metro Pillar 1636, Road 36, Jubilee Hills, Hyderabad",,,0,"Takeaway Available, Full Bar Available, Live Sports Screening, Indoor Seating, Desserts and Bakes, Family Friendly",17.433577,78.412113
https://www.zomato.com/hyderabad/akafe-bagel-house-pizzeria-jubilee-hills/info,Akafe Bagel House & Pizzeria,4.4,900.0,"Cafe, Coffee, Continental, Pizza, Sandwich, Desserts, Beverages, Healthy Food","Jubilee Hills, Hyderabad",,,,"479b, Rd Number 21, Jubilee Hills, Hyderabad, Telangana 500033, Hyderabad",12:30am,9:45pm,0,"Home Delivery, Takeaway Available, Valet Parking Available, Kid Friendly, Pet Friendly, Wifi, Family Friendly, High Chair Available, Smoking Area, Desserts and Bakes",17.4318176,78.4087279
https://www.zomato.com/hyderabad/air-live-jubilee-hills/info,Air Live,4.3,3500.0,"North Indian, Italian, Asian, Continental, Pizza, Bar Food, Beverages","Road 36, Jubilee Hills, Hyderabad","Jalapeno Cheeseballs, Crispy French Fries, Virgin Pinacolada, Cocktails, Hummus, Virgin Mojito","Manager is Cooperative, Thoughtful and Polite Staff, Food was Wonderful, Fairly Priced Beers, Casual Dress Code, Live Band Music",,"5th Floor, Odyssey Mall, Road 36, Jubilee Hills, Hyderabad",12noon,12midnight,0,"Home Delivery, Full Bar Available, Serves Alcohol, Dress Code Applicable, Smoking Area, Party Music, Live Entertainment, Nightlife, Live Music, Indoor Seating, Happy Hours, Wifi, Karaoke, Live Sports Screening, Valet Parking Available",17.427446,78.402483
