links,names,ratings,price for two,cuisine,images,opening & closing time,location,signature dishes,special features,safety measures,address
https://www.zomato.com/hyderabad/mekong-hitech-city/info,Mekong,-star-fill,"₹2,200 for two people (approx.)","Chinese, Asian, Sushi, Thai, Burmese, Vietnamese, Tibetan, Japanese",,"12noon – 3pm, 6:30pm – 11pm (Today)","Hitech City, Hyderabad",Not available,Not available,Not available,"Survey 64, 15, 24, 25 & 26, Huda Techno Enclave, Hitech City, Hyderabad"
https://www.zomato.com/hyderabad/makau-jubilee-hills/info,Makau,4.2star-fill,"₹2,200 for two people (approx.) with alcohol","North Indian, Beverages, Asian, Desserts, Continental, Italian, Modern Indian, Sushi",,12noon – 11pm (Today),"Road 36, Jubilee Hills, Hyderabad","Thai Green Curry, Mocktail, Cheesecake, Prawns, Starters, Chicken","Good Music Beautiful Ambiance, Trained Staff, Food Menu, Fair Prices, Seat, Nice Music",Not available,"Plot 732, 8-2-293/82/A/732, CBI Colony, Road 36, Jubilee Hills, Hyderabad"
https://www.zomato.com/hyderabad/by-the-bottle-jubilee-hills/info,By The Bottle,4.2star-fill,"₹1,400 for two people (approx.) with alcohol","Continental, Chinese, North Indian, Italian, Pizza, Bar Food",,12noon – 12midnight (Today),"Road 36, Jubilee Hills, Hyderabad","Crispy Shrimp, Peri Peri Prawn, Sangria, Chicken Tikka Pizza, Cheese Balls, Beer","Rooftop Ambience, Awesome Music, Amazing Music, Nice View, Fancy Crowd, Dance Floor",Not available,"1217/A, Road 36, Jubilee Hills, Hyderabad"
https://www.zomato.com/hyderabad/aura-cafe-infusion-bar-jubilee-hills/info,Aura Cafe & Infusion Bar,4.4star-fill,"₹2,000 for two people (approx.) Without alcohol","Coffee, Italian, Chinese, Oriental, Continental, Bar Food, Beverages, Desserts",,10:30am – 11:30pm (Today),"Jubilee Hills, Hyderabad","Contadina Pizza, Turkey Sandwich, Chicken Croquettes, Wild Mushroom Soup, Chicken Piccata, Mutton Dhansak","Good Foods and Fresh Juices, Couple Friendly, Healthy Menu, Personal Attention, Cozy Ambience, Beautiful Cafe","Well Sanitized Kitchen, Daily Temp. Checks","Plot 280-A, Road 10C, Jubilee Hills, Hyderabad"
https://www.zomato.com/hyderabad/stone-waters-kitchen-lounge-jubilee-hills/info,Stone Waters - Kitchen & Lounge,4.2star-fill,"₹2,000 for two people (approx.) Without alcohol","North Indian, Continental, Asian, Pizza",,3:30pm – 12midnight (Today),"Jubilee Hills, Hyderabad","Panneer Butter Masala, Alfredo Pasta, Lasagna, Cocktails, Crispy Corn, Beer","Soulful Music, Live Band Performance, Singer, Rooftop Ambience, Sheesha, Awesome Music",Not available,"Shop 1299, B1, 5th Floor, Aruna Arcade, Road 1, Jubilee Hills, Hyderabad"
https://www.zomato.com/hyderabad/forefathers-jubilee-hills/info,Forefathers,4.4star-fill,"₹1,500 for two people (approx.) Without alcohol","Finger Food, Pizza, Bar Food, Asian, Modern Indian, Continental, Desserts, North Indian",,12noon – 12midnight (Today),"Jubilee Hills, Hyderabad",Not available,Not available,Not available,"872, CBI Colony, Masthan Nagar, Road 45, Jubilee Hills, Hyderabad"
https://www.zomato.com/hyderabad/36-downtown-brew-pub-jubilee-hills/info,36 Downtown Brew Pub,4.3star-fill,"₹3,000 for two people (approx.) with alcohol","Continental, Hyderabadi, Finger Food, Pizza, Beverages, Desserts",,12noon – 12midnight (Today),"Road 36, Jubilee Hills, Hyderabad","Cottage Steak, Cheesy Chicken Pasta, Loaded Potato Skins, Liit Cocktail, Palak Patta Chat, Wheat Beer","Dj was Amazing, Kid Friendly, Bar Games, Happy Hour Menu, Live Band Performance, Rooftop Seating",Not available,"Plot 753, Road 36, Jubilee Hills, Hyderabad"
https://www.zomato.com/hyderabad/anaga-spice-kitchen-bar-jubilee-hills/info,Anaga  Spice Kitchen & Bar,4.3star-fill,"₹1,200 for two people (approx.) Without alcohol","Andhra, North Indian, Biryani, Desserts, South Indian",,Opens at 7pm,"Jubilee Hills, Hyderabad",Not available,Not available,Not available,"2-293/82/A, 4th Floor, Apurupa Towers, Metro Pillar 1636, Road 36, Jubilee Hills, Hyderabad"
https://www.zomato.com/hyderabad/akafe-bagel-house-pizzeria-jubilee-hills/info,Akafe Bagel House & Pizzeria,4.4star-fill,₹900 for two people (approx.),"Cafe, Coffee, Continental, Pizza, Sandwich, Desserts, Beverages, Healthy Food",,12:30am – 9:45pm (Today),"Jubilee Hills, Hyderabad",Not available,Not available,Not available,"479b, Rd Number 21, Jubilee Hills, Hyderabad, Telangana 500033, Hyderabad"
https://www.zomato.com/hyderabad/air-live-jubilee-hills/info,Air Live,4.3star-fill,"₹3,500 for two people (approx.) with alcohol","North Indian, Italian, Asian, Continental, Pizza, Bar Food, Beverages",,12noon – 12midnight (Today),"Road 36, Jubilee Hills, Hyderabad","Jalapeno Cheeseballs, Crispy French Fries, Virgin Pinacolada, Cocktails, Hummus, Virgin Mojito","Manager is Cooperative, Thoughtful and Polite Staff, Food was Wonderful, Fairly Priced Beers, Casual Dress Code, Live Band Music",Not available,"5th Floor, Odyssey Mall, Road 36, Jubilee Hills, Hyderabad"
https://www.zomato.com/hyderabad/sakura-a-far-eastern-kitchen-1-jubilee-hills/info,Sakura - A Far Eastern Kitchen,4.4star-fill,"₹1,600 for two people (approx.)","Japanese, Asian, Thai, Sushi, Korean, Chinese, Desserts, Beverages",,Opens at 7pm,"Jubilee Hills, Hyderabad",Not available,Not available,Not available,"1259/A, 4th Floor, Jahnavi Trade Centre, Metro Pillar 1621, Road 36, Jubilee Hills, Hyderabad"
https://www.zomato.com/hyderabad/asf-ancient-stone-flames-bbq-grill-jubilee-hills/info,ASF - Ancient Stone Flames BBQ & Grill,4.4star-fill,"₹1,800 for two people (approx.)","BBQ, Mediterranean, Desserts, Beverages, North Indian, Biryani",,11:30am – 11:30pm (Today),"Jubilee Hills, Hyderabad",Not available,Not available,Not available,"First Floor, Pillar 1642, Plot 471, Road 36, above MC Donald's, Jubilee Hills, Hyderabad"
https://www.zomato.com/hyderabad/lord-of-the-drinks-jubilee-hills/info,Lord Of The Drinks,4.3star-fill,"₹2,500 for two people (approx.) with alcohol","North Indian, Asian, Bar Food, Sushi, Italian, Continental, BBQ, Beverages",,12noon – 11:30pm (Today),"Jubilee Hills, Hyderabad",Not available,"Great Service, Good Music, Waiter, Elaborate Menu, Customizable Food, Ambiance",Not available,"CBI Colony, Road 45, Jubilee Hills, Hyderabad"
https://www.zomato.com/hyderabad/babylon-bar-and-kitchen-jubilee-hills/info,Babylon Bar And Kitchen,4.4star-fill,"₹3,500 for two people (approx.) with alcohol","Asian, Sushi, Chinese, Italian, Biryani, Turkish, Desserts, Beverages",,12noon – 12midnight (Today),"Jubilee Hills, Hyderabad","Cocktails, Platter, Drinks, Cheesecake, Pizza","Welcoming, Good Vibes, Great Music, Pleasant Ambience, Wonderful Service, Amazing Service",Not available,"Door 8-2-293/82/A/346/1, Plot 346, Road 10, Near Circle 18, Jubilee Hills, Hyderabad"
https://www.zomato.com/hyderabad/halo-cocktail-bar-kitchen-jubilee-hills/info,Halo Cocktail Bar & Kitchen,4.8star-fill,"₹2,200 for two people (approx.) with alcohol","Bar Food, North Indian, Chinese, Italian, Japanese, Desserts, Continental, Beverages",,12noon – 11:30pm (Today),"Jubilee Hills, Hyderabad",Not available,Not available,Not available,"8-2-293/82/A/1067/A, Road 45, Jubilee Hills, Hyderabad"
https://www.zomato.com/hyderabad/zythum-brewing-co-jubilee-hills/info,ZYTHUM Brewing Co.,4.4star-fill,"₹2,500 for two people (approx.) with alcohol","Continental, Pizza, North Indian, Asian, Desserts, Grilled Chicken, Pasta",,12:10pm – 11:30pm (Today),"Jubilee Hills, Hyderabad","Craft Beer, Beers, Cocktail, Drinks, Pizza","Awesome Vibe, Amazing Service, Host, Best Service, Great Ambiance, Theme",Not available,"74 A, Park View Enclave, Check Post Road, Jubilee Hills, Hyderabad"
https://www.zomato.com/hyderabad/red-rhino-hitech-city/info,Red Rhino,4.5star-fill,"₹2,400 for two people (approx.) with alcohol","Asian, North Indian, Continental, European, Burger, Pizza, Desserts, Beverages",,12noon – 12midnight (Today),"Hitech City, Hyderabad","Craft Beer, Succulent Chicken, Sushi, Onion Rings, Cheesecake, Drink","Good Server, Great Host, Great Vibe, Fantastic Service, Exceptional Service, Good Vibe",Not available,"83/1, Dallas Centre Raidurg, Serilingampally, Panmaktha Village, Hitech City, Hyderabad"
https://www.zomato.com/hyderabad/zindagi-sky-bar-kitchen-jubilee-hills/info,Zindagi Sky Bar & Kitchen,4.3star-fill,"₹2,500 for two people (approx.) Without alcohol","North Indian, Chinese, Japanese, Pizza, Desserts, Beverages, Italian",,4pm – 11:30pm (Today),"Jubilee Hills, Hyderabad",Not available,Not available,Not available,"House 8-2-293/82/A/775-a, Plot 775-a, Sy. 120, Road 45, Circle 18, Jubilee Hills, Hyderabad"
https://www.zomato.com/hyderabad/daily-rituals-jubilee-hills/info,Daily Rituals,4.4star-fill,"₹1,300 for two people (approx.) Without alcohol","Continental, Hyderabadi, Bar Food, Asian, Pizza, Italian, South Indian, Finger Food",,12noon – 11:30pm (Today),"Jubilee Hills, Hyderabad",Not available,Not available,Not available,"D.8-2-293/82/A/1181, Plot 1181, Sy.403/1 (Old), 120 (New), Road 45, Phase-1, Co-op House Building Society Ltd, Jubilee Hills, Hyderabad"
